title,preview
NASA's Mars Rover Drivers Need Your Help,"Using an online tool to label Martian terrain types, you can train an artificial intelligence algorithm that could improve the way engineers guide the Curiosity rover."
NASA's MAVEN Observes Martian Night Sky Pulsing in Ultraviolet Light,"Vast areas of the Martian night sky pulse in ultraviolet light, according to images from NASA’s MAVEN spacecraft. The results are being used to illuminate complex circulation patterns in the Martian atmosphere."
Mars Is Getting a New Robotic Meteorologist,Sensors on NASA's Perseverance will help prepare for future human exploration by taking weather measurements and studying dust particles.
The Detective Aboard NASA's Perseverance Rover,"An instrument called SHERLOC will, with the help of its partner WATSON, hunt for signs of ancient life by detecting organic molecules and minerals."
6 Things to Know About NASA's Ingenuity Mars Helicopter,The first helicopter attempting to fly on another planet is a marvel of engineering. Get up to speed with these key facts about its plans.
How NASA's Mars Helicopter Will Reach the Red Planet's Surface,"The small craft will seek to prove that powered, controlled flight is possible on another planet. But just getting it onto the surface of Mars will take a whole lot of ingenuity."
Two Rovers to Roll on Mars Again: Curiosity and Mars 2020,"They look like twins. But under the hood, the rover currently exploring the Red Planet and the one launching there this summer have distinct science tools and roles to play."
NASA's Mars Perseverance Rover Passes Flight Readiness Review,"​The agency's Mars 2020 mission has one more big prelaunch review – the Launch Readiness Review, on July 27."
MAVEN Maps Electric Currents around Mars that are Fundamental to Atmospheric Loss,"Five years after NASA’s MAVEN spacecraft entered into orbit around Mars, data from the mission has led to the creation of a map of electric current systems in the Martian atmosphere."
NASA Moves Forward With Campaign to Return Mars Samples to Earth,"During this next phase, the program will mature critical technologies and make critical design decisions as well as assess industry partnerships."
"With Mars Methane Mystery Unsolved, Curiosity Serves Scientists a New One: Oxygen","For the first time in the history of space exploration, scientists have measured the seasonal changes in the gases that fill the air directly above the surface of Gale Crater on Mars. "
Deadline Closing for Names to Fly on NASA's Next Mars Rover,You have until Sept. 30 to send your names to Mars aboard the Mars 2020 rover. 
NASA to Hold Mars 2020 Perseverance Rover Launch Briefing,Learn more about the agency's next Red Planet mission during a live event on June 17.
Robotic Toolkit Added to NASA's Mars 2020 Rover,"The bit carousel, which lies at the heart of the rover's Sample Caching System, is now aboard NASA's newest rover. "
NASA Mars Mission Connects With Bosnian and Herzegovinian Town,"A letter from NASA was presented to the mayor of Jezero, Bosnia-Herzegovina, honoring the connection between the town and Jezero Crater, the Mars 2020 rover landing site."
